State,Account_length,Area_code,International_plan,Voice_mail_plan,Num_vmail_messages,Total_day_minutes,Total_day_calls,Total_eve_minutes,Total_eve_calls,Total_night_minutes,Total_night_calls,Total_intl_minutes,Total_intl_calls,Customer_service_calls,Total_day_charge,Total_eve_charge,Total_night_charge,Total_intl_charge,Churn
TX,84,415,no,no,30,226.1,114,87.8,154,352.9,94,9.6,2,5,38.44,7.46,15.88,2.59,0
CA,113,408,yes,no,43,220.0,158,141.2,21,174.6,153,13.2,5,4,37.4,12.0,7.86,3.56,0
OH,25,510,no,no,51,164.4,1,223.2,115,147.9,28,12.4,16,3,27.95,18.97,6.66,3.35,0
CA,168,415,yes,no,2,183.5,116,231.8,112,181.7,131,9.2,6,8,31.2,19.7,8.18,2.48,1
CA,88,415,no,no,27,190.7,81,145.5,23,118.1,24,12.7,5,3,32.42,12.37,5.31,3.43,0
IN,14,415,yes,no,2,204.9,89,196.9,26,184.8,167,12.8,12,0,34.83,16.74,8.32,3.46,0
OH,154,510,no,yes,13,199.1,41,207.8,35,203.9,31,12.5,13,7,33.85,17.66,9.18,3.38,0
OH,102,510,no,no,17,107.8,30,146.0,106,253.7,99,8.9,18,7,18.33,12.41,11.42,2.4,0
OH,215,510,no,no,26,48.1,60,183.1,144,227.5,36,11.9,7,2,8.18,15.56,10.24,3.21,0
CA,150,510,no,yes,50,125.1,101,270.1,55,207.9,125,13.2,12,8,21.27,22.96,9.36,3.56,0
TX,176,510,no,no,9,171.7,55,284.2,9,316.1,137,12.6,19,6,29.19,24.16,14.22,3.4,0
OH,83,510,no,no,48,231.8,82,144.8,53,232.4,165,12.9,8,6,39.41,12.31,10.46,3.48,0
FL,110,510,no,yes,14,192.7,127,66.8,80,277.5,99,9.5,4,4,32.76,5.68,12.49,2.57,0
CA,179,510,no,no,18,208.9,13,261.9,107,248.1,26,12.9,10,2,35.51,22.26,11.16,3.48,0
IN,131,510,no,no,8,131.6,13,291.1,165,275.4,134,13.5,6,4,22.37,24.74,12.39,3.65,1
TX,170,415,no,yes,3,176.2,156,243.8,80,262.0,98,8.8,5,2,29.95,20.72,11.79,2.38,0
FL,19,510,no,no,14,183.5,49,185.6,126,245.1,136,6.3,11,2,31.2,15.78,11.03,1.7,0
FL,201,408,yes,no,50,139.2,100,145.8,97,232.9,35,14.4,11,0,23.66,12.39,10.48,3.89,0
IN,28,415,no,no,47,122.2,67,230.8,131,280.2,117,8.8,5,3,20.77,19.62,12.61,2.38,0
TX,212,510,no,no,7,167.8,70,252.7,60,168.4,157,8.0,3,8,28.53,21.48,7.58,2.16,1
CA,173,408,no,no,48,215.7,10,167.0,148,160.4,18,10.6,12,5,36.67,14.2,7.22,2.86,1
KY,71,510,no,no,0,131.1,13,213.8,35,113.8,168,9.3,11,5,22.29,18.17,5.12,2.51,0
TX,206,408,no,no,6,168.8,105,178.3,101,228.3,54,4.8,14,5,28.7,15.16,10.27,1.3,0
IN,63,408,no,no,30,253.2,103,237.7,45,262.7,83,12.4,7,4,43.04,20.2,11.82,3.35,0
FL,73,408,no,yes,17,152.0,130,97.1,94,143.9,5,12.3,12,1,25.84,8.25,6.48,3.32,0
CA,124,408,no,no,11,180.4,127,219.8,70,160.9,122,7.2,10,4,30.67,18.68,7.24,1.94,0
TX,119,415,no,no,47,174.3,7,181.7,43,277.8,106,9.9,10,2,29.63,15.44,12.5,2.67,0
KY,121,415,no,yes,29,169.9,136,291.6,63,237.5,87,7.3,10,1,28.88,24.79,10.69,1.97,1
KY,19,408,no,no,32,270.1,18,215.6,145,235.1,149,7.7,18,3,45.92,18.33,10.58,2.08,0
OH,175,510,no,no,46,196.5,139,235.4,12,222.4,151,8.4,16,8,33.4,20.01,10.01,2.27,1
OH,142,408,no,yes,6,95.2,154,152.8,12,188.6,61,11.4,0,6,16.18,12.99,8.49,3.08,1
IN,120,415,no,no,27,262.5,111,188.9,24,116.0,169,15.4,12,8,44.62,16.06,5.22,4.16,0
TX,166,510,yes,no,48,194.8,57,219.7,4,232.0,149,8.9,19,2,33.12,18.67,10.44,2.4,0
TX,181,415,no,no,2,159.8,24,182.0,127,315.1,143,12.3,8,1,27.17,15.47,14.18,3.32,0
FL,61,415,no,no,42,252.9,44,187.9,38,216.2,140,12.2,10,8,42.99,15.97,9.73,3.29,0
FL,164,510,no,no,5,138.0,101,213.1,156,138.3,119,4.2,8,5,23.46,18.11,6.22,1.13,0
FL,168,408,no,no,30,272.6,47,114.3,107,189.2,36,6.3,16,3,46.34,9.72,8.51,1.7,0
OH,209,408,yes,no,37,185.0,49,173.8,160,251.3,151,15.5,6,3,31.45,14.77,11.31,4.19,0
TX,30,408,no,yes,14,234.3,80,239.4,137,257.7,124,8.6,7,5,39.83,20.35,11.6,2.32,0
TX,9,408,no,no,6,345.6,43,180.3,24,284.1,16,11.2,1,6,58.75,15.33,12.78,3.02,1
KY,64,510,no,yes,42,189.7,58,316.8,73,257.3,15,10.9,13,4,32.25,26.93,11.58,2.94,0
OH,161,510,no,no,29,174.8,160,204.5,38,92.1,128,4.3,9,7,29.72,17.38,4.14,1.16,0
CA,120,510,yes,no,26,122.4,102,107.4,15,212.4,84,8.2,8,0,20.81,9.13,9.56,2.21,0
OH,52,415,no,no,16,173.5,77,222.2,155,122.1,124,12.0,0,0,29.5,18.89,5.49,3.24,0
CA,89,510,no,no,17,124.0,155,147.2,31,234.3,0,7.5,11,3,21.08,12.51,10.54,2.03,0
KY,142,408,no,yes,21,169.9,17,217.0,62,239.5,29,9.0,13,7,28.88,18.44,10.78,2.43,0
IN,203,415,no,yes,25,336.3,160,171.7,92,155.7,23,6.7,18,7,57.17,14.59,7.01,1.81,0
TX,53,408,no,yes,50,186.5,115,175.0,44,183.8,45,7.7,10,5,31.7,14.88,8.27,2.08,0
KY,227,408,no,no,26,150.1,105,251.8,52,165.3,1,8.6,8,4,25.52,21.4,7.44,2.32,1
TX,233,510,no,no,39,168.7,142,120.8,49,244.3,142,5.0,16,1,28.68,10.27,10.99,1.35,0
FL,187,510,no,yes,23,157.8,10,175.7,154,195.7,28,13.2,19,4,26.83,14.93,8.81,3.56,0
IN,78,408,no,no,51,236.6,163,170.1,25,165.3,98,6.3,5,4,40.22,14.46,7.44,1.7,1
IN,222,408,no,no,7,175.1,142,266.9,130,242.4,61,9.5,5,1,29.77,22.69,10.91,2.57,0
KY,41,415,no,no,20,266.9,61,182.6,89,232.9,12,8.0,19,7,45.37,15.52,10.48,2.16,1
IN,196,510,no,no,28,162.9,47,152.9,38,244.2,64,12.9,9,4,27.69,13.0,10.99,3.48,0
CA,68,415,no,no,42,166.4,93,211.6,162,116.8,44,6.7,9,4,28.29,17.99,5.26,1.81,1
IN,220,415,no,yes,20,131.6,142,155.3,52,168.6,46,7.9,16,0,22.37,13.2,7.59,2.13,0
TX,8,415,no,no,2,159.3,86,162.5,21,236.7,15,6.4,13,0,27.08,13.81,10.65,1.73,0
TX,2,408,no,no,30,86.4,49,234.5,133,110.2,125,3.5,4,0,14.69,19.93,4.96,0.94,0
TX,105,415,no,no,26,65.0,59,56.7,51,111.7,106,11.4,2,7,11.05,4.82,5.03,3.08,0
TX,125,415,no,no,45,213.7,58,151.8,74,160.4,2,10.1,10,1,36.33,12.9,7.22,2.73,0
CA,110,408,no,yes,26,85.7,14,166.2,72,241.8,103,10.6,18,7,14.57,14.13,10.88,2.86,1
OH,86,510,no,no,8,201.9,28,277.3,28,200.6,94,12.2,19,5,34.32,23.57,9.03,3.29,0
FL,169,510,no,no,32,153.0,39,222.3,121,227.4,132,10.3,18,4,26.01,18.9,10.23,2.78,1
KY,120,415,no,no,32,230.7,30,198.4,161,146.9,153,8.8,13,5,39.22,16.86,6.61,2.38,0
TX,127,408,no,no,25,86.9,72,194.8,158,146.3,91,10.7,14,3,14.77,16.56,6.58,2.89,0
IN,183,510,no,no,27,212.3,10,206.2,85,275.2,14,8.6,2,2,36.09,17.53,12.38,2.32,0
TX,16,415,no,no,43,197.9,80,212.3,45,222.9,149,13.0,2,3,33.64,18.05,10.03,3.51,0
IN,221,415,no,no,42,199.6,61,206.3,3,142.0,36,9.0,8,8,33.93,17.54,6.39,2.43,1
FL,62,408,no,no,30,240.7,135,297.3,1,93.2,156,9.7,10,7,40.92,25.27,4.19,2.62,0
FL,113,415,no,no,0,183.8,50,178.0,132,124.0,153,11.7,14,7,31.25,15.13,5.58,3.16,0
FL,176,510,no,yes,19,47.8,56,208.7,45,142.9,69,16.3,16,0,8.13,17.74,6.43,4.4,0
IN,158,408,no,yes,11,204.3,131,201.9,78,131.4,138,7.2,11,4,34.73,17.16,5.91,1.94,0
TX,12,510,no,yes,16,197.3,163,247.0,146,198.2,99,6.7,16,5,33.54,21.0,8.92,1.81,0
FL,35,510,yes,no,14,166.8,146,165.3,165,236.3,147,9.3,8,8,28.36,14.05,10.63,2.51,1
CA,11,510,no,no,33,134.5,23,181.7,58,195.1,83,8.0,12,5,22.86,15.44,8.78,2.16,1
IN,64,415,no,no,49,160.5,40,124.4,71,175.4,90,11.9,7,0,27.29,10.57,7.89,3.21,0
IN,238,415,no,no,15,258.7,48,249.4,19,218.5,32,10.5,5,0,43.98,21.2,9.83,2.84,0
TX,50,510,no,yes,3,130.3,35,123.9,52,181.7,120,7.0,6,6,22.15,10.53,8.18,1.89,0
IN,213,510,no,yes,7,86.0,9,227.0,106,107.4,29,12.0,0,2,14.62,19.3,4.83,3.24,0
IN,149,408,no,yes,33,100.7,77,284.1,54,210.9,33,15.0,9,6,17.12,24.15,9.49,4.05,1
FL,69,408,no,no,45,178.1,134,296.3,166,221.2,132,7.8,14,4,30.28,25.19,9.95,2.11,1
TX,48,415,yes,yes,24,270.2,139,184.7,120,265.0,139,10.9,13,0,45.93,15.7,11.92,2.94,0
FL,20,415,no,yes,14,299.1,85,182.7,163,249.8,75,4.1,3,7,50.85,15.53,11.24,1.11,1
FL,101,408,no,no,27,215.1,164,196.3,14,169.8,74,9.0,3,8,36.57,16.69,7.64,2.43,1
TX,195,510,no,no,8,127.0,163,245.0,0,188.3,51,10.8,8,5,21.59,20.83,8.47,2.92,1
KY,172,415,yes,yes,1,132.7,59,193.4,94,201.9,50,9.6,14,1,22.56,16.44,9.09,2.59,0
FL,161,510,no,no,16,227.3,95,186.3,136,211.5,148,10.3,11,8,38.64,15.84,9.52,2.78,0
CA,201,408,no,no,9,251.9,7,253.6,150,280.7,57,7.9,8,1,42.82,21.56,12.63,2.13,0
CA,189,415,no,no,8,145.3,134,202.2,153,196.4,97,13.4,2,5,24.7,17.19,8.84,3.62,0
IN,137,415,no,no,30,256.9,106,192.3,17,171.9,124,8.9,14,3,43.67,16.35,7.74,2.4,0
CA,68,408,no,yes,1,167.6,57,156.2,104,267.1,92,6.7,10,5,28.49,13.28,12.02,1.81,0
IN,35,415,no,no,23,218.6,80,251.4,64,265.7,133,9.9,5,3,37.16,21.37,11.96,2.67,0
KY,209,408,no,no,18,241.9,85,212.4,76,248.6,36,12.5,14,2,41.12,18.05,11.19,3.38,1
TX,226,415,no,yes,16,100.0,33,199.4,115,113.4,137,11.5,6,7,17.0,16.95,5.1,3.11,0
TX,216,408,no,no,42,204.4,83,106.9,68,204.4,55,8.6,18,4,34.75,9.09,9.2,2.32,0
TX,224,415,no,no,48,257.1,116,247.7,141,187.4,82,14.8,13,0,43.71,21.05,8.43,4.0,0
CA,65,510,no,no,9,149.7,21,143.3,74,223.6,70,9.8,3,7,25.45,12.18,10.06,2.65,0
KY,8,510,no,yes,49,122.9,148,222.6,159,153.0,65,5.4,0,2,20.89,18.92,6.88,1.46,0
CA,45,510,no,no,27,206.7,14,161.1,50,244.3,44,11.6,12,3,35.14,13.69,10.99,3.13,0
CA,87,415,yes,yes,37,187.2,132,146.3,14,219.3,86,9.6,10,8,31.82,12.44,9.87,2.59,1
KY,175,415,no,no,47,162.3,101,246.4,68,247.3,94,9.8,17,2,27.59,20.94,11.13,2.65,0
KY,168,510,no,yes,27,179.9,144,205.1,14,159.6,143,12.4,8,4,30.58,17.43,7.18,3.35,0
KY,76,510,no,yes,49,89.8,146,202.1,29,214.3,9,9.3,10,7,15.27,17.18,9.64,2.51,0
KY,182,408,no,no,51,201.8,4,297.5,77,242.6,148,9.2,5,5,34.31,25.29,10.92,2.48,0
TX,76,408,yes,no,49,266.0,22,296.8,151,62.3,139,6.6,15,2,45.22,25.23,2.8,1.78,1
OH,174,408,no,no,0,141.4,82,187.7,34,236.0,12,8.6,4,7,24.04,15.95,10.62,2.32,0
OH,47,510,no,no,2,135.3,13,134.6,68,180.5,80,10.7,0,4,23.0,11.44,8.12,2.89,0
KY,15,510,no,yes,14,189.3,9,270.7,139,198.7,116,8.4,13,5,32.18,23.01,8.94,2.27,1
OH,105,510,no,no,51,333.7,30,132.8,45,267.6,137,5.5,18,2,56.73,11.29,12.04,1.48,0
OH,147,408,no,no,9,239.4,140,223.8,125,258.9,121,11.8,5,7,40.7,19.02,11.65,3.19,1
KY,26,415,no,yes,20,174.9,126,186.6,163,168.7,140,11.9,11,3,29.73,15.86,7.59,3.21,0
OH,52,510,no,no,36,182.1,149,203.8,84,108.9,161,11.9,6,8,30.96,17.32,4.9,3.21,1
CA,93,415,no,yes,14,244.7,36,261.3,47,195.9,58,7.5,9,4,41.6,22.21,8.82,2.03,1
IN,150,415,no,no,22,130.9,137,160.7,66,257.4,127,9.9,9,0,22.25,13.66,11.58,2.67,0
IN,232,415,no,no,13,213.0,30,169.6,88,271.0,48,10.6,12,8,36.21,14.42,12.2,2.86,0
